Max_Monthly_Temperature (°C),Year,Month
32.3,2010,1
35.2,2010,2
35.5,2010,3
34.5,2010,4
35.2,2010,5
33.5,2010,6
33.4,2010,7
33.1,2010,8
33.2,2010,9
34.1,2010,10
33.1,2010,11
33.6,2010,12
32.4,2011,1
33.5,2011,2
33.5,2011,3
33.1,2011,4
35.3,2011,5
33.1,2011,6
32.9,2011,7
32.5,2011,8
32.4,2011,9
32.5,2011,10
32.5,2011,11
32.3,2011,12
32.5,2012,1
32.9,2012,2
33.2,2012,3
32.9,2012,4
33.7,2012,5
32.7,2012,6
32.1,2012,7
32.7,2012,8
32.7,2012,9
33.1,2012,10
32.8,2012,11
32.2,2012,12
35.2,2013,1
32.5,2013,2
33.8,2013,3
34.9,2013,4
33.9,2013,5
34.5,2013,6
33.5,2013,7
32.8,2013,8
32.9,2013,9
33.2,2013,10
32.9,2013,11
33.7,2013,12
31.8,2014,1
33.8,2014,2
34.4,2014,3
34.5,2014,4
33.8,2014,5
33.6,2014,6
33.2,2014,7
31.9,2014,8
33.2,2014,9
34.1,2014,10
33.4,2014,11
33.6,2014,12
32.4,2015,1
33.6,2015,2
34.4,2015,3
34.4,2015,4
34.2,2015,5
34.3,2015,6
32.7,2015,7
33.1,2015,8
33.2,2015,9
33.6,2015,10
33.6,2015,11
33.1,2015,12
32.8,2016,1
32.7,2016,2
34.1,2016,3
35.0,2016,4
34.6,2016,5
33.4,2016,6
33.4,2016,7
33.8,2016,8
34.4,2016,9
34.6,2016,10
32.6,2016,11
33.6,2016,12
33.7,2017,1
32.4,2017,2
33.3,2017,3
34.4,2017,4
32.8,2017,5
33.0,2017,6
32.4,2017,7
33.0,2017,8
32.4,2017,9
34.6,2017,10
32.5,2017,11
33.5,2017,12
33.2,2018,1
33.5,2018,2
34.2,2018,3
35.0,2018,4
34.2,2018,5
33.4,2018,6
33.0,2018,7
33.2,2018,8
33.0,2018,9
34.5,2018,10
33.4,2018,11
33.8,2018,12
33.4,2019,1
34.1,2019,2
34.8,2019,3
34.5,2019,4
34.7,2019,5
33.0,2019,6
