Total_Monthly_Rainfall (mm),Year,Month
213.0,2011,6
76.6,2011,7
81.4,2011,8
136.4,2011,9
216.8,2011,10
377.8,2011,11
284.6,2011,12
106.1,2012,1
83.6,2012,2
313.4,2012,3
260.6,2012,4
292.0,2012,5
53.0,2012,6
130.8,2012,7
119.0,2012,8
107.6,2012,9
122.2,2012,10
208.2,2012,11
363.4,2012,12
262.0,2013,1
395.2,2013,2
85.8,2013,3
159.4,2013,4
211.4,2013,5
111.4,2013,6
174.6,2013,7
165.6,2013,8
257.0,2013,9
285.4,2013,10
292.4,2013,11
348.2,2013,12
75.4,2014,1
0.2,2014,2
66.0,2014,3
110.0,2014,4
125.8,2014,5
71.4,2014,6
148.6,2014,7
241.0,2014,8
83.6,2014,9
120.0,2014,10
250.8,2014,11
245.6,2014,12
79.6,2015,1
18.8,2015,2
84.4,2015,3
73.2,2015,4
89.0,2015,5
95.8,2015,6
116.8,2015,7
185.8,2015,8
61.6,2015,9
87.2,2015,10
72.6,2015,11
302.3,2015,12
126.6,2016,1
186.0,2016,2
6.2,2016,3
89.8,2016,4
193.8,2016,5
162.8,2016,6
168.6,2016,7
139.2,2016,8
118.9,2016,9
181.0,2016,10
290.2,2016,11
292.6,2016,12
197.6,2017,1
158.4,2017,2
136.2,2017,3
208.6,2017,4
190.0,2017,5
106.0,2017,6
79.6,2017,7
84.2,2017,8
124.4,2017,9
120.8,2017,10
268.6,2017,11
371.2,2017,12
287.0,2018,1
14.8,2018,2
44.6,2018,3
61.2,2018,4
132.2,2018,5
182.6,2018,6
143.2,2018,7
121.6,2018,8
144.4,2018,9
234.4,2018,10
169.6,2018,11
172.6,2018,12
63.6,2019,1
31.6,2019,2
72.2,2019,3
174.8,2019,4
69.0,2019,5
173.8,2019,6
